_from,_to
person/person_42_000234,real_estate_transaction/retx_42_000000
person/person_42_000305,real_estate_transaction/retx_42_000001
person/person_42_000317,real_estate_transaction/retx_42_000002
person/person_42_000195,real_estate_transaction/retx_42_000003
person/person_42_000330,real_estate_transaction/retx_42_000004
person/person_42_000213,real_estate_transaction/retx_42_000005
person/person_42_000072,real_estate_transaction/retx_42_000006
person/person_42_000015,real_estate_transaction/retx_42_000007
person/person_42_000233,real_estate_transaction/retx_42_000008
person/person_42_000245,real_estate_transaction/retx_42_000009
person/person_42_000015,real_estate_transaction/retx_42_000010
person/person_42_000006,real_estate_transaction/retx_42_000011
person/person_42_000363,real_estate_transaction/retx_42_000012
person/person_42_000139,real_estate_transaction/retx_42_000013
person/person_42_000022,real_estate_transaction/retx_42_000014
person/person_42_000366,real_estate_transaction/retx_42_000015
person/person_42_000233,real_estate_transaction/retx_42_000016
person/person_42_000276,real_estate_transaction/retx_42_000017
person/person_42_000297,real_estate_transaction/retx_42_000018
person/person_42_000075,real_estate_transaction/retx_42_000019
person/person_42_000044,real_estate_transaction/retx_42_000020
person/person_42_000238,real_estate_transaction/retx_42_000021
person/person_42_000259,real_estate_transaction/retx_42_000022
person/person_42_000293,real_estate_transaction/retx_42_000023
person/person_42_000057,real_estate_transaction/retx_42_000024
person/person_42_000130,real_estate_transaction/retx_42_000025
person/person_42_000250,real_estate_transaction/retx_42_000026
person/person_42_000202,real_estate_transaction/retx_42_000027
person/person_42_000352,real_estate_transaction/retx_42_000028
person/person_42_000355,real_estate_transaction/retx_42_000029
person/person_42_000055,real_estate_transaction/retx_42_000030
person/person_42_000386,real_estate_transaction/retx_42_000031
person/person_42_000012,real_estate_transaction/retx_42_000032
person/person_42_000036,real_estate_transaction/retx_42_000033
person/person_42_000338,real_estate_transaction/retx_42_000034
person/person_42_000191,real_estate_transaction/retx_42_000035
person/person_42_000314,real_estate_transaction/retx_42_000036
person/person_42_000163,real_estate_transaction/retx_42_000037
person/person_42_000385,real_estate_transaction/retx_42_000038
person/person_42_000350,real_estate_transaction/retx_42_000039
person/person_42_000243,real_estate_transaction/retx_42_000040
person/person_42_000048,real_estate_transaction/retx_42_000041
person/person_42_000165,real_estate_transaction/retx_42_000042
person/person_42_000210,real_estate_transaction/retx_42_000043
person/person_42_000259,real_estate_transaction/retx_42_000044
person/person_42_000289,real_estate_transaction/retx_42_000045
person/person_42_000060,real_estate_transaction/retx_42_000046
person/person_42_000083,real_estate_transaction/retx_42_000047
person/person_42_000079,real_estate_transaction/retx_42_000048
person/person_42_000397,real_estate_transaction/retx_42_000049
