_key,transaction_value,timestamp,payment_method,risk_score,risk_reasons
retx_42_000000,29157248,2025-11-08T18:56:54.108161Z,Mixed,45,"[""undervalued_transaction""]"
retx_42_000001,20422249,2025-09-09T18:56:54.108161Z,Bank Transfer,0,
retx_42_000002,12878216,2026-01-23T18:56:54.108161Z,Bank Transfer,0,
retx_42_000003,27609869,2025-10-09T18:56:54.108161Z,Bank Transfer,0,
retx_42_000004,13227005,2025-12-06T18:56:54.108161Z,Bank Transfer,0,
retx_42_000005,56829797,2025-11-20T18:56:54.108161Z,Bank Transfer,0,
retx_42_000006,27211601,2025-11-14T18:56:54.108161Z,Bank Transfer,0,
retx_42_000007,15383300,2025-08-09T18:56:54.108161Z,Bank Transfer,0,
retx_42_000008,7071265,2025-12-01T18:56:54.108161Z,Bank Transfer,0,
retx_42_000009,20058218,2025-09-08T18:56:54.108161Z,Bank Transfer,0,
retx_42_000010,15313703,2025-10-26T18:56:54.108161Z,Bank Transfer,0,
retx_42_000011,36377174,2025-12-17T18:56:54.108161Z,Bank Transfer,0,
retx_42_000012,33801254,2025-11-20T18:56:54.108161Z,Bank Transfer,0,
retx_42_000013,21732969,2025-08-12T18:56:54.108161Z,Bank Transfer,0,
retx_42_000014,43855716,2025-08-17T18:56:54.108161Z,Bank Transfer,0,
retx_42_000015,46600710,2025-12-02T18:56:54.108161Z,Bank Transfer,0,
retx_42_000016,21792681,2025-10-28T18:56:54.108161Z,Bank Transfer,0,
retx_42_000017,15734538,2025-09-11T18:56:54.108161Z,Bank Transfer,0,
retx_42_000018,50777133,2025-12-17T18:56:54.108161Z,Bank Transfer,0,
retx_42_000019,41099484,2025-11-17T18:56:54.108161Z,Bank Transfer,0,
retx_42_000020,45212702,2025-10-12T18:56:54.108161Z,Bank Transfer,0,
retx_42_000021,14103034,2025-08-18T18:56:54.108161Z,Bank Transfer,0,
retx_42_000022,37051239,2025-11-04T18:56:54.108161Z,Bank Transfer,0,
retx_42_000023,36968753,2025-12-21T18:56:54.108161Z,Bank Transfer,0,
retx_42_000024,42873335,2025-10-15T18:56:54.108161Z,Bank Transfer,0,
retx_42_000025,10354025,2026-01-29T18:56:54.108161Z,Bank Transfer,0,
retx_42_000026,41194935,2025-11-06T18:56:54.108161Z,Bank Transfer,0,
retx_42_000027,55247146,2025-09-12T18:56:54.108161Z,Bank Transfer,0,
retx_42_000028,20522309,2025-10-18T18:56:54.108161Z,Bank Transfer,0,
retx_42_000029,21536695,2025-12-22T18:56:54.108161Z,Bank Transfer,0,
retx_42_000030,34851941,2025-09-23T18:56:54.108161Z,Bank Transfer,0,
retx_42_000031,13034158,2025-11-30T18:56:54.108161Z,Bank Transfer,0,
retx_42_000032,19637291,2025-12-13T18:56:54.108161Z,Bank Transfer,0,
retx_42_000033,19355468,2025-08-09T18:56:54.108161Z,Bank Transfer,0,
retx_42_000034,39582313,2025-10-31T18:56:54.108161Z,Bank Transfer,0,
retx_42_000035,47681590,2025-10-23T18:56:54.108161Z,Bank Transfer,0,
retx_42_000036,32855065,2025-08-21T18:56:54.108161Z,Bank Transfer,0,
retx_42_000037,44267182,2025-09-25T18:56:54.108161Z,Bank Transfer,0,
retx_42_000038,23912281,2025-10-24T18:56:54.108161Z,Bank Transfer,0,
retx_42_000039,33587895,2025-11-02T18:56:54.108161Z,Bank Transfer,0,
retx_42_000040,21848626,2026-01-08T18:56:54.108161Z,Bank Transfer,0,
retx_42_000041,10243232,2025-08-22T18:56:54.108161Z,Bank Transfer,0,
retx_42_000042,22736392,2026-01-22T18:56:54.108161Z,Bank Transfer,0,
retx_42_000043,53918791,2025-08-26T18:56:54.108161Z,Bank Transfer,0,
retx_42_000044,36404570,2026-01-23T18:56:54.108161Z,Bank Transfer,0,
retx_42_000045,29383601,2025-08-05T18:56:54.108161Z,Bank Transfer,0,
retx_42_000046,47929186,2025-09-03T18:56:54.108161Z,Bank Transfer,0,
retx_42_000047,28762674,2025-11-16T18:56:54.108161Z,Bank Transfer,0,
retx_42_000048,36877752,2025-08-08T18:56:54.108161Z,Bank Transfer,0,
retx_42_000049,33652022,2025-10-23T18:56:54.108161Z,Bank Transfer,0,
