_key,_from,_to
7597805095c4aebf6ae21cd481255d64,RealProperty/prop_42_000000,RealEstateTransaction/retx_42_000000
af01db788cd1aa0721ddd9b7486a06c8,RealProperty/prop_42_000001,RealEstateTransaction/retx_42_000001
be2e3cabeaef0b8c856a6c29bc683241,RealProperty/prop_42_000002,RealEstateTransaction/retx_42_000002
5440f6bd2d6c0ba375f53761aab82fff,RealProperty/prop_42_000003,RealEstateTransaction/retx_42_000003
a67ad8db235daa55a4bc3c98d79ca127,RealProperty/prop_42_000004,RealEstateTransaction/retx_42_000004
e0ee5f88abbe8eea316c7b8de040ef72,RealProperty/prop_42_000005,RealEstateTransaction/retx_42_000005
a4745242e5f87061f2742481e395729c,RealProperty/prop_42_000006,RealEstateTransaction/retx_42_000006
410a9bafbc8bbc0006d7be219723bdf3,RealProperty/prop_42_000007,RealEstateTransaction/retx_42_000007
cc219d0554e36e432f0b28d852be8491,RealProperty/prop_42_000008,RealEstateTransaction/retx_42_000008
2c5a4113572a846c54a755b88c0f6f5a,RealProperty/prop_42_000009,RealEstateTransaction/retx_42_000009
e2ec37525557278a93f6c5090b0c1f78,RealProperty/prop_42_000010,RealEstateTransaction/retx_42_000010
4ca6b7e514ae56c2f75cc9b49037761b,RealProperty/prop_42_000011,RealEstateTransaction/retx_42_000011
a6fd7f1d92aec8b941442e3a0078d58c,RealProperty/prop_42_000012,RealEstateTransaction/retx_42_000012
fbd66c847627883efe00983c26b69b3e,RealProperty/prop_42_000013,RealEstateTransaction/retx_42_000013
f49c3cc993594084cead04c16502567a,RealProperty/prop_42_000014,RealEstateTransaction/retx_42_000014
76f3eda75e12ea9154fe566973fe55f8,RealProperty/prop_42_000015,RealEstateTransaction/retx_42_000015
68c8310364abe66afd10bf3155ce75ee,RealProperty/prop_42_000016,RealEstateTransaction/retx_42_000016
fec06c61f1559b23f85b710aecc18233,RealProperty/prop_42_000017,RealEstateTransaction/retx_42_000017
b1bfb367b081e76c3c81421b5ce9d334,RealProperty/prop_42_000018,RealEstateTransaction/retx_42_000018
9db8f8d701e8a8cd5c7563bd21262e46,RealProperty/prop_42_000019,RealEstateTransaction/retx_42_000019
f2037c2d3c7b9cf69947f6b6926a5233,RealProperty/prop_42_000020,RealEstateTransaction/retx_42_000020
5441298d0e216bbe04e5a09f46a3bb1b,RealProperty/prop_42_000021,RealEstateTransaction/retx_42_000021
12589d42ea0e86798d46aee5acbbce6c,RealProperty/prop_42_000022,RealEstateTransaction/retx_42_000022
30a440105cf61b001a158361d365ff87,RealProperty/prop_42_000023,RealEstateTransaction/retx_42_000023
ac8aa4f01da965e142075413a0df8769,RealProperty/prop_42_000024,RealEstateTransaction/retx_42_000024
f4730e0d70e270e69bb157a11b51530e,RealProperty/prop_42_000025,RealEstateTransaction/retx_42_000025
c4676b0532574fa01928ef504235c7a8,RealProperty/prop_42_000026,RealEstateTransaction/retx_42_000026
51fdccb371c87fe3f38e2f7acdae5b8b,RealProperty/prop_42_000027,RealEstateTransaction/retx_42_000027
9983fb4ff7066533251f5cd9dd76fce9,RealProperty/prop_42_000028,RealEstateTransaction/retx_42_000028
37c39863356c585bb12d51317c844edc,RealProperty/prop_42_000029,RealEstateTransaction/retx_42_000029
719e5c613dcaac589e2648f235621d8c,RealProperty/prop_42_000030,RealEstateTransaction/retx_42_000030
8e9d5699f4d6c2267fc998cd00e62125,RealProperty/prop_42_000031,RealEstateTransaction/retx_42_000031
d30702903310a00eebd162422940f424,RealProperty/prop_42_000032,RealEstateTransaction/retx_42_000032
f3fda54900c2f3ea354a9df212a6a824,RealProperty/prop_42_000033,RealEstateTransaction/retx_42_000033
7a26cb3632033e96fbdb55ee59e77843,RealProperty/prop_42_000034,RealEstateTransaction/retx_42_000034
c728b41260b4881818decd91032b0019,RealProperty/prop_42_000035,RealEstateTransaction/retx_42_000035
192a8424ae1d5ead3ac002413848da85,RealProperty/prop_42_000036,RealEstateTransaction/retx_42_000036
7d5414d2dd878de84909ddb3829d2bcf,RealProperty/prop_42_000037,RealEstateTransaction/retx_42_000037
bf67563e88411f3959fd722752b5cc0d,RealProperty/prop_42_000038,RealEstateTransaction/retx_42_000038
0d2ae24c0bd530afd4063239da6e7d65,RealProperty/prop_42_000039,RealEstateTransaction/retx_42_000039
538bceb67434938883d5705e7109c541,RealProperty/prop_42_000040,RealEstateTransaction/retx_42_000040
de6af74aae756d06a4f3cdffd8ab1eff,RealProperty/prop_42_000041,RealEstateTransaction/retx_42_000041
34686f2d7df232e4bed84c527a4caa37,RealProperty/prop_42_000042,RealEstateTransaction/retx_42_000042
c3cdfc723ea63eca8e5c2b8ec1bc2ea9,RealProperty/prop_42_000043,RealEstateTransaction/retx_42_000043
a1ea03625e57aae26d8e607260108db5,RealProperty/prop_42_000044,RealEstateTransaction/retx_42_000044
106e1fa8298a610d4e4ecfdd9a642cf6,RealProperty/prop_42_000045,RealEstateTransaction/retx_42_000045
1c522cc5305d44ffe06cff0d748a8b3c,RealProperty/prop_42_000046,RealEstateTransaction/retx_42_000046
f0dff1f615028821cd7417604e86a367,RealProperty/prop_42_000047,RealEstateTransaction/retx_42_000047
3b9ded420b1005089c400cf66ad01551,RealProperty/prop_42_000048,RealEstateTransaction/retx_42_000048
e29ebfdee89d544780592f281cabae91,RealProperty/prop_42_000049,RealEstateTransaction/retx_42_000049
