_from,_to
real_property/prop_42_000000,real_estate_transaction/retx_42_000000
real_property/prop_42_000001,real_estate_transaction/retx_42_000001
real_property/prop_42_000002,real_estate_transaction/retx_42_000002
real_property/prop_42_000003,real_estate_transaction/retx_42_000003
real_property/prop_42_000004,real_estate_transaction/retx_42_000004
real_property/prop_42_000005,real_estate_transaction/retx_42_000005
real_property/prop_42_000006,real_estate_transaction/retx_42_000006
real_property/prop_42_000007,real_estate_transaction/retx_42_000007
real_property/prop_42_000008,real_estate_transaction/retx_42_000008
real_property/prop_42_000009,real_estate_transaction/retx_42_000009
real_property/prop_42_000010,real_estate_transaction/retx_42_000010
real_property/prop_42_000011,real_estate_transaction/retx_42_000011
real_property/prop_42_000012,real_estate_transaction/retx_42_000012
real_property/prop_42_000013,real_estate_transaction/retx_42_000013
real_property/prop_42_000014,real_estate_transaction/retx_42_000014
real_property/prop_42_000015,real_estate_transaction/retx_42_000015
real_property/prop_42_000016,real_estate_transaction/retx_42_000016
real_property/prop_42_000017,real_estate_transaction/retx_42_000017
real_property/prop_42_000018,real_estate_transaction/retx_42_000018
real_property/prop_42_000019,real_estate_transaction/retx_42_000019
real_property/prop_42_000020,real_estate_transaction/retx_42_000020
real_property/prop_42_000021,real_estate_transaction/retx_42_000021
real_property/prop_42_000022,real_estate_transaction/retx_42_000022
real_property/prop_42_000023,real_estate_transaction/retx_42_000023
real_property/prop_42_000024,real_estate_transaction/retx_42_000024
real_property/prop_42_000025,real_estate_transaction/retx_42_000025
real_property/prop_42_000026,real_estate_transaction/retx_42_000026
real_property/prop_42_000027,real_estate_transaction/retx_42_000027
real_property/prop_42_000028,real_estate_transaction/retx_42_000028
real_property/prop_42_000029,real_estate_transaction/retx_42_000029
real_property/prop_42_000030,real_estate_transaction/retx_42_000030
real_property/prop_42_000031,real_estate_transaction/retx_42_000031
real_property/prop_42_000032,real_estate_transaction/retx_42_000032
real_property/prop_42_000033,real_estate_transaction/retx_42_000033
real_property/prop_42_000034,real_estate_transaction/retx_42_000034
real_property/prop_42_000035,real_estate_transaction/retx_42_000035
real_property/prop_42_000036,real_estate_transaction/retx_42_000036
real_property/prop_42_000037,real_estate_transaction/retx_42_000037
real_property/prop_42_000038,real_estate_transaction/retx_42_000038
real_property/prop_42_000039,real_estate_transaction/retx_42_000039
real_property/prop_42_000040,real_estate_transaction/retx_42_000040
real_property/prop_42_000041,real_estate_transaction/retx_42_000041
real_property/prop_42_000042,real_estate_transaction/retx_42_000042
real_property/prop_42_000043,real_estate_transaction/retx_42_000043
real_property/prop_42_000044,real_estate_transaction/retx_42_000044
real_property/prop_42_000045,real_estate_transaction/retx_42_000045
real_property/prop_42_000046,real_estate_transaction/retx_42_000046
real_property/prop_42_000047,real_estate_transaction/retx_42_000047
real_property/prop_42_000048,real_estate_transaction/retx_42_000048
real_property/prop_42_000049,real_estate_transaction/retx_42_000049
