_key,_from,_to
52eec3bcfee477ab195f46f1e23fa26b,Person/person_42_000333,RealEstateTransaction/retx_42_000000
5357ccc18a2be0b47d1541cb65991a6a,Person/person_42_000054,RealEstateTransaction/retx_42_000001
63a81353f6898aac479d8b08b5c5e346,Person/person_42_000345,RealEstateTransaction/retx_42_000002
d00be593a6400c158b189d9f0b85d417,Person/person_42_000331,RealEstateTransaction/retx_42_000003
3e1a3c97f69d88cdf1aa29812be27dd5,Person/person_42_000261,RealEstateTransaction/retx_42_000004
5752d9f3e0887820e20901f0aeacb451,Person/person_42_000105,RealEstateTransaction/retx_42_000005
63d2bb6479aeae952c1b0d1f9cc22159,Person/person_42_000308,RealEstateTransaction/retx_42_000006
6979f5fe6458ab365c49dc50f5139e5a,Person/person_42_000127,RealEstateTransaction/retx_42_000007
c72e76353cc54e2dfd7e11ed6a9abdca,Person/person_42_000025,RealEstateTransaction/retx_42_000008
297d54bd7932bd87c0b5e04fe09af8f8,Person/person_42_000373,RealEstateTransaction/retx_42_000009
a5108e1ef816cb091e3484740086079f,Person/person_42_000097,RealEstateTransaction/retx_42_000010
74b5ffe4cb6c2472212156b69fddd473,Person/person_42_000334,RealEstateTransaction/retx_42_000011
7cc60b450e264714f2ac672c6b6636e5,Person/person_42_000134,RealEstateTransaction/retx_42_000012
b1d456732450775f559aa696262f61c3,Person/person_42_000243,RealEstateTransaction/retx_42_000013
3dd81fda61a5bee5915af42d98a7e180,Person/person_42_000296,RealEstateTransaction/retx_42_000014
d42a99050cc8fea4270f21ff3aae9b90,Person/person_42_000032,RealEstateTransaction/retx_42_000015
62c7f93e9b652708fc3abb953c8ff055,Person/person_42_000019,RealEstateTransaction/retx_42_000016
79d93daa99e9a725846bb0a457ab7b51,Person/person_42_000295,RealEstateTransaction/retx_42_000017
bbd66edc4017b535a7708830a1085df2,Person/person_42_000144,RealEstateTransaction/retx_42_000018
05a1ae6a59bfc880262bfa900b671a1f,Person/person_42_000096,RealEstateTransaction/retx_42_000019
b03418294b2f5d0fff09b34cea552dc6,Person/person_42_000288,RealEstateTransaction/retx_42_000020
56accfdbab15e03d0a49dc6bf0a6b132,Person/person_42_000380,RealEstateTransaction/retx_42_000021
f2ec533cca62757ec32a53b529b25a24,Person/person_42_000241,RealEstateTransaction/retx_42_000022
dfcfe6812b21260d21ea2e23dae9425f,Person/person_42_000074,RealEstateTransaction/retx_42_000023
f2d34bf95d37c149f077a1b2695b33a0,Person/person_42_000205,RealEstateTransaction/retx_42_000024
f997787986328934b6208f477d2907f4,Person/person_42_000344,RealEstateTransaction/retx_42_000025
49305f37f33c9f67c2f106bfb045c95d,Person/person_42_000308,RealEstateTransaction/retx_42_000026
1a5bf0ccaf6ee3d42db8f8ebeb6ac44d,Person/person_42_000230,RealEstateTransaction/retx_42_000027
98cd7b877a61e75f6dd1f9e0b12c2815,Person/person_42_000320,RealEstateTransaction/retx_42_000028
5b01353782c64a292c7d0dbdfa038594,Person/person_42_000071,RealEstateTransaction/retx_42_000029
656c7681d9a117a729842f417c99d136,Person/person_42_000256,RealEstateTransaction/retx_42_000030
db1e54d259e3e02f3235a68ae67172ee,Person/person_42_000281,RealEstateTransaction/retx_42_000031
625bbfbeca4a7ea9e9dda4ec838ddec0,Person/person_42_000059,RealEstateTransaction/retx_42_000032
0aec66516391790db0a31d32dc9e404d,Person/person_42_000267,RealEstateTransaction/retx_42_000033
5f738588804cc9f157a7aae2b647959c,Person/person_42_000384,RealEstateTransaction/retx_42_000034
2f1f8840e0a2caee987b5311c03dd1fd,Person/person_42_000385,RealEstateTransaction/retx_42_000035
1baf392c2f9096e2f8aa2a7363b6be36,Person/person_42_000253,RealEstateTransaction/retx_42_000036
b00f9b5949322bfb63f28b9bf70b10fa,Person/person_42_000207,RealEstateTransaction/retx_42_000037
1dea45b906722c2c9fcf9b2d1f0817eb,Person/person_42_000008,RealEstateTransaction/retx_42_000038
d70989c3bd50be336b5d0f5a07932545,Person/person_42_000034,RealEstateTransaction/retx_42_000039
a9a031f2fd7d5e05001f24b2557ae635,Person/person_42_000206,RealEstateTransaction/retx_42_000040
7148afb74cc607a3880b37fcc302272f,Person/person_42_000106,RealEstateTransaction/retx_42_000041
13ae65ead83fdb609eca1941cc8007a6,Person/person_42_000303,RealEstateTransaction/retx_42_000042
cccbd1b8899d007d15ee7a9f17260528,Person/person_42_000179,RealEstateTransaction/retx_42_000043
d673c4257c34772a3bc02d7afb755db4,Person/person_42_000275,RealEstateTransaction/retx_42_000044
37d8fb51ad98d9f440fe4f678a5d3a8e,Person/person_42_000251,RealEstateTransaction/retx_42_000045
643cddffa65917e0aabc055b073c4d11,Person/person_42_000129,RealEstateTransaction/retx_42_000046
188cff29812e368429b40539c6a9d036,Person/person_42_000232,RealEstateTransaction/retx_42_000047
4e54406b2e0ffa3ed76a05e34136a15e,Person/person_42_000158,RealEstateTransaction/retx_42_000048
90a9a1e1987918909757e943ca0d849b,Person/person_42_000048,RealEstateTransaction/retx_42_000049
