_from,_to
person/person_42_000200,real_estate_transaction/retx_42_000000
person/person_42_000146,real_estate_transaction/retx_42_000001
person/person_42_000025,real_estate_transaction/retx_42_000002
person/person_42_000373,real_estate_transaction/retx_42_000003
person/person_42_000097,real_estate_transaction/retx_42_000004
person/person_42_000334,real_estate_transaction/retx_42_000005
person/person_42_000134,real_estate_transaction/retx_42_000006
person/person_42_000243,real_estate_transaction/retx_42_000007
person/person_42_000296,real_estate_transaction/retx_42_000008
person/person_42_000032,real_estate_transaction/retx_42_000009
person/person_42_000019,real_estate_transaction/retx_42_000010
person/person_42_000295,real_estate_transaction/retx_42_000011
person/person_42_000144,real_estate_transaction/retx_42_000012
person/person_42_000096,real_estate_transaction/retx_42_000013
person/person_42_000288,real_estate_transaction/retx_42_000014
person/person_42_000380,real_estate_transaction/retx_42_000015
person/person_42_000241,real_estate_transaction/retx_42_000016
person/person_42_000074,real_estate_transaction/retx_42_000017
person/person_42_000205,real_estate_transaction/retx_42_000018
person/person_42_000344,real_estate_transaction/retx_42_000019
person/person_42_000308,real_estate_transaction/retx_42_000020
person/person_42_000230,real_estate_transaction/retx_42_000021
person/person_42_000320,real_estate_transaction/retx_42_000022
person/person_42_000071,real_estate_transaction/retx_42_000023
person/person_42_000256,real_estate_transaction/retx_42_000024
person/person_42_000281,real_estate_transaction/retx_42_000025
person/person_42_000059,real_estate_transaction/retx_42_000026
person/person_42_000267,real_estate_transaction/retx_42_000027
person/person_42_000384,real_estate_transaction/retx_42_000028
person/person_42_000385,real_estate_transaction/retx_42_000029
person/person_42_000253,real_estate_transaction/retx_42_000030
person/person_42_000207,real_estate_transaction/retx_42_000031
person/person_42_000008,real_estate_transaction/retx_42_000032
person/person_42_000034,real_estate_transaction/retx_42_000033
person/person_42_000206,real_estate_transaction/retx_42_000034
person/person_42_000106,real_estate_transaction/retx_42_000035
person/person_42_000303,real_estate_transaction/retx_42_000036
person/person_42_000179,real_estate_transaction/retx_42_000037
person/person_42_000275,real_estate_transaction/retx_42_000038
person/person_42_000251,real_estate_transaction/retx_42_000039
person/person_42_000129,real_estate_transaction/retx_42_000040
person/person_42_000232,real_estate_transaction/retx_42_000041
person/person_42_000158,real_estate_transaction/retx_42_000042
person/person_42_000048,real_estate_transaction/retx_42_000043
person/person_42_000227,real_estate_transaction/retx_42_000044
person/person_42_000198,real_estate_transaction/retx_42_000045
person/person_42_000357,real_estate_transaction/retx_42_000046
person/person_42_000020,real_estate_transaction/retx_42_000047
person/person_42_000039,real_estate_transaction/retx_42_000048
person/person_42_000381,real_estate_transaction/retx_42_000049
